title,img,英文名称,批准文号,主要规格,用途,产品说明
复方脑蛋白水解物片,http://img1.pharmnet.com.cn/suppliers/product_cn/705/1482705_1.gif,Compound Cerebroprotein Hydrolysate Tablets,国药准字H22024562,12片/板*4板/盒   12片/板*2板/盒,,用于颅脑外伤、脑血管病后遗症伴有记忆减退及注意力集中障碍的症状改善。对脑功能不全有辅助改善作用，也用于蛋白缺乏、神经衰弱病人及对一般蛋白质消化吸收障碍的病例。
仲景胃灵片,http://img1.pharmnet.com.cn/suppliers/product_cn/225693_1.jpg,,国药准字 Z44021104,0.6g×24片/盒，0.6g×48片/盒,,慢性胃炎，胃及十二指肠溃疡所致的胃脘痛、嗳气吞酸、泛吐清水、食欲不振等。
2-(Phenylthio)ethanol(PTE),http://img1.pharmnet.com.cn/suppliers/product_cn/225694_1.jpg,,,,,CAS:699-12-7Molecularformula:C8H10OSMolecularweight:154.2268Property:achromaticorligthYellowliquid.Content：≥99%
2-巯基噻唑,http://img1.pharmnet.com.cn/suppliers/product_cn/225663_1.jpg,2-mercaptothiazole,,,,
氯美噻唑,http://img1.pharmnet.com.cn/suppliers/product_cn/225665_1.jpg,Clomethiazole,,,,
克球皇,http://img1.pharmnet.com.cn/suppliers/product_cn/225602_1.jpg,,,,,
吉他富,http://img1.pharmnet.com.cn/suppliers/product_cn/225592_1.jpg,,,,,属大环内酯类抗生素，抗菌活性与泰乐菌素、红霉素、螺旋霉素、麦迪霉素和竹桃霉素相似，通过抑制病原菌的蛋白合成，对支原体、革兰氏阳性菌，部分革兰氏阴性菌、钩端螺旋体、立克次体都有抑制和杀灭作用。且对大部分耐青霉素、土霉素、金霉素的菌株敏感，对部分耐红霉素和氯霉素的菌株也敏感。无毒、低残(低于0.2mcg/g或ml)、无配伍禁忌，为农业部农牧发[2001]20号文件规定允许用做饲料添加剂的I类药。
微囊吉他,http://img1.pharmnet.com.cn/suppliers/product_cn/225590_1.jpg,,,,,一个好的抗菌促生长剂，最理想的状况是避免药物在胃和小肠前段被大量吸收，希望尽可能地全部到达肠道中释放，并且在肠道中保持稳定较高的有效药物浓度，作用时间越长效果越好。微囊吉他所具有的肠溶缓释特性避免了药物在胃和小肠前段被大量吸收，使吉他霉素在肠道中缓慢释放，释药时间长达8小时以上，极大的提高了其在肠道中后段的有效浓度，更有效的抑制了病原微生物，从而显著提高了吉他霉素的抗菌促生长作用，降低了饲料中吉他霉素的添加量，节省了成本。
球克威,http://img1.pharmnet.com.cn/suppliers/product_cn/225595_1.jpg,,,,,单价聚醚离子载体抗生素。其抗球虫机理是能兴奋子孢子的Na+、K+、ATP酶，使子孢子Na+、Cl-离子增加，从而使子孢子吸水肿胀和空泡化。对球虫的子孢子、裂殖子均有抑杀作用，对革兰氏阳性厌氧菌也有明显的抑制作用。
鼻渊丸,http://img1.pharmnet.com.cn/suppliers/product_cn/225582_1.jpg,,国药准字Z42021433,,祛风宣肺，清热解毒，通窍止痛。用于鼻塞鼻渊，通气不畅，流涕黄浊，嗅觉不灵，头痛，眉棱骨痛。,
球百克,http://img1.pharmnet.com.cn/suppliers/product_cn/225594_1.jpg,,,,,抑制球虫子孢子的发育，使肠道上皮细胞内的子孢子维持在停止发育状态，药效持久，长达60d，大大破坏了球虫的正常发育周期。对球虫的活性峰期在子孢子阶段，即球虫生命周期的第1天。在感染球虫前或感染球虫的同时使用本品，能充分发挥其抗球虫作用。
丹蓝通络口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/225490_1.jpg,,国药准字B20020723,每支装10ml。,化瘀通络、益气调中。可用于改善气血两虚引起的心慌、胸闷、神疲乏力，气短，失眠，食欲不振等症状。,【成份】丹参、绞股蓝总甙、猕猴桃果汁【性状】本品为淡棕色至棕色的液体，有少量沉淀；具特殊香气，味酸甜。
安脉喜,http://img1.pharmnet.com.cn/suppliers/product_cn/225509_1.jpg,,国药准字Z20060023,,,
仙茸壮阳口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/225491_1.jpg,,国药准字Z20044293,10ml/支；10ml×10支/盒,补肾壮阳。用于体虚、阳萎肾寒。,【成份】鹿茸(去毛)、淫羊藿、巴戟天(盐制)、仙茅、肉苁蓉、枸杞子、何首乌(制)、刺五加浸膏。【性状】本品为棕红色的粘稠液体。味甜、微苦、咸。
阿司匹林双嘧达莫缓释胶囊(斯纳格),http://img1.pharmnet.com.cn/suppliers/product_cn/225496_1.jpg,,国药准字H20060720,12.5+100mg×24粒/盒,本品具有抑制血小板聚集，抗血栓形成及扩张冠脉血管，增加冠脉血流的作用。临床上可用于减少血栓引起的脑短暂缺血或局部缺血所造成的中风等疾病的危险。,
热炎宁颗粒无糖型,http://img1.pharmnet.com.cn/suppliers/product_cn/225489_1.jpg,,国药准字Z19983136,每盒装8袋。,"清热解毒。用于外感风热发热、内郁化火所致的风热感冒，发热,咽喉肿痛，口苦咽干，咳嗽痰黄，尿黄便结，化脓性扁桃体炎，急性咽炎，急性支气管炎，单纯性肺炎。",【成份】蒲公英、虎杖、北败酱、半枝莲
铁皮枫斗颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/699/1410699_1.jpg,,国药准字B20020441,每袋装3g；每瓶装25g  颗粒剂,,【成份】铁皮石斛、西洋参、辅料为葡萄糖。【性状】本品为浅棕黄色或浅黄棕色的颗粒，味甘、微苦。【功能主治】益气养阴，养胃生津。适用于气阴两虚所致的干咳，口燥咽干，两目干涩，视物模糊，五心烦热，午后潮热，大便干结，神疲乏力，腰膝酸软。【规格】每袋装3克【用法用量】每次1～2袋，每日2～3次，开水冲服。【贮藏】密封【包装】铝塑复合袋，每小盒装6小袋，每中盒装2小盒【批准文号】国药准字B20020441
热炎宁颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/225488_1.jpg,,国药准字Z19983136,16g/袋；每盒装6袋。,"清热解毒。用于外感风热发热、内郁化火所致的风热感冒，发热,咽喉肿痛，口苦咽干，咳嗽痰黄，尿黄便结，化脓性扁桃体炎，急性咽炎，急性支气管炎，单纯性肺炎。",【成份】蒲公英、虎杖、北败酱、半枝莲
冰石愈伤软膏(重度烧伤、褥疮、溃疡、糖尿脚专用),http://img1.pharmnet.com.cn/suppliers/product_cn/225235.JPG,,国药准字Z20050213,每支18克装,重度烧烫伤、电击伤、褥疮、溃疡、冻疮、糖尿脚、脚气、神经性皮炎、刀口不愈及各种创伤包括战争创伤和多种疮疥感染。,一种治疗烧烫伤、褥疮的药物及其制法专利号ZL200310105827具有独有性，独家生产、独家销售。是长线产品，经久不衰，可供长期销售
维生素E烟酸酯胶囊(威氏克),http://img1.pharmnet.com.cn/suppliers/product_cn/225481_1.jpg,,国药准字H11021845,0.1g×36粒； 0.1g×48粒,1、用于高血脂症及动脉粥样硬化的防治；2、微循环障碍性疾病；3、缺血性视神经病变；4、植物神经紊乱；5、更年期综合症。,威氏克是国内首家研制成功的维生素E烟酸酯胶囊。1998年被评为北京十佳新产品，2000年、2002年、2004年连续多次荣获北京名牌产品称号。威氏克在出色改善微循环、降血脂的同时；又能清除自由基，保护血管。副作用极其轻微，长期服用安全。广泛适用于心内科、神内科、眼科、老年病科等多个科室。
妇宁颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/225227.jpg,,国药准字Z33021039,2g/袋*12袋,养血调经，顺气通郁。用于月经不调，腰腹疼痛，赤白带下，精神倦怠，饮食减少。,妇宁颗粒是在中医妇科宫廷经典方妇科宁坤丸的基础上改变工艺和剂型，精选二十一味中药材，运用现代科学方法和先进工艺研制的纯中药制剂。科学的组方及先进的生产工艺保证了产品可以减少其赋形剂(糖)的用量，形成了本品服用剂量小、口感好，疗效确切、患者乐于接受的独特优势。纯中药制剂及宫廷组方的特点，使本品在对妇科病患进行全面调理的同时对月经不调、赤白带下、腰服疼痛、胸脘胀滞、精神倦怠、饮食减少等妇科病症有显著的疗效。
注射用三磷酸胞苷二钠,http://img1.pharmnet.com.cn/suppliers/product_cn/224959.jpg,Cytidine Disodium Triphosphate for Injection,国药准字H20067719,20mg,用于颅脑外伤后综合症及其后遗症的辅助治疗,【性状】本品为白色冻干块状物或粉末。【适应症】用于颅脑外伤后综合症及其后遗症的辅助治疗。
注射用阿奇霉素,http://img1.pharmnet.com.cn/suppliers/product_cn/225383.jpg,,国药准字H20010189,0.25g/瓶,本品适用于敏感致病菌株所引起的下列感染：1.由肺炎衣原体、流感嗜血杆菌、嗜肺军团菌、卡他摩拉菌、肺炎支原体、金黄色葡萄球菌或肺炎链球菌引起的需要首先采取静脉滴注治疗的社区获得性肺炎；2.由沙眼衣原体、淋病奈瑟菌、人型支原体引起的需要首先采取静脉滴注治疗的盆腔炎。,通用名称：注射用阿奇霉素英文名：AzithromycinforInjection汉语拼音：ZhusheyongAqimeisu本品主要成分为阿奇霉素，其化学名称为(2R，3S，4R，5R，8R，10R，11R，12S，13S，14R)-13-[(2，6-二脱氧-3-C-甲基-3-O-甲基-a-L-核-已吡喃糖基)氧]-2-乙基-3，4，10-三羟基-3，5，6，8，10，12，14-七甲基-11-[[3，4，6-三脱氧-3-(二甲氨基)-β-D-木-已吡喃糖基]氧]-1-氧杂-6-氮杂环十五烷-15酮。分子式：C38H72N2O12分子量：749.00【性状】本品为白色或类白色的粉末或疏松块状物。【用法用量】用法：将本品用适量注射用水充分溶解，配制成0.1g/ml，再加入至250ml或500ml的氯化钠注射液或5%葡萄糖注射液中，最终阿奇霉素浓度为1.0～2.0mg/ml，然后静脉滴注。浓度为1.0mg/ml，滴注时间为3小时；浓度为2.0mg/ml，滴注时间为1小时。本品每次滴注时间不得少于60分钟，滴注液浓度不得高于2.0mg/ml。用量：1.治疗社区获得性肺炎：成人一次0.5g，一日1次，至少连续用药2日，继之换用阿奇霉素口服制剂一日0.5g，7～10日为一个疗程。转为口服治疗时间应由医师根据临床治疗反应确定。2.治疗盆腔炎：成人一次0.5g，一日1次，用药1日或2日后，改用阿奇霉素口服制剂一日0.25g，7日为一个疗程。转为口服治疗时间应由医师根据临床治疗反应确定。【不良反应】1.本品常见不良反应有：(1)胃肠道反应：腹泻、腹痛、稀便、恶心、呕吐等。(2)局部反应：注射部位疼痛、局部炎症等。(3)皮肤反应：皮疹、瘙痒。(4)其他反应：如厌食、阴道炎、口腔炎、头晕或呼吸困难等。2.本品也可引起下列反应：(1)消化系统：消化不良、胃肠胀气、粘膜炎、口腔念株菌病、胃炎等。(2)神经系统：头痛、嗜睡等。(3)过敏反应：支气管痉挛等。(4)其他反应：味觉异常等。(5)实验室检查：血清氨基转移酶、肌酐、乳酸脱氢酶、胆红素及碱性磷酸酶升高，白细胞、中性粒细胞及血小板计数减少。【禁忌】对阿奇霉素、红霉素或其他任何一种大环内酯类药物过敏者禁用。【注意事项】1.轻度肾功能不全患者(肌酐清除率>40ml/分钟)不需作剂量调整，但阿奇霉素对较严重肾功能不全患者中的使用尚无资料，给这些患者使用阿奇霉素时应慎重。2.由于肝胆系统是阿奇霉素排泄的主要途径，肝功能不全者慎用，严重肝病患者不应使用。用药期间定期随访肝功能。3.用药期间如果发生过敏反应(如血管神经性水肿、皮肤反应、Steveous-Jonson综合征及毒性表皮坏死等)，应立即停药，并采取适当措施。4.治疗期间，若患者出现腹泻症状，应考虑假膜性肠炎发生。如果诊断确立，应采取相应治疗措施，包括维持水、电解质平衡、补充蛋白质等。5.治疗盆腔炎时若怀疑合并厌氧菌感染，应合用抗厌氧菌药物。6.使用本品期间，如出现任何不良事件和/或不良反应，请咨询医生。7.同时使用其他药品，请告知医生。8.请放置于儿童不能够触及的地方。【孕妇及哺乳期妇女用药】动物实验显示本品对胎儿无影响，但在人类孕妇中应用尚缺乏经验，故在孕妇中应用须充分权衡利弊。尚无资料显示本品是否可分泌至母乳中，故哺乳期妇女应用须谨慎考虑。【儿童用药】16岁以下患者使用本品的安全性尚不清楚。【药物相互作用】1.与茶碱合用时能提高后者在血浆中的浓度，应注意检测血浆茶碱水平。2.与华法林合用时应注意检查凝血酶原时间。3.与下列药物同时使用时，建议密切观察患者：地高辛--使地高辛水平升高。麦角胺或二氢麦角胺---急性麦角毒性，症状是严重的末梢血管痉挛和感觉迟钝(触物感痛)。三唑仑--通过减少三唑仑的降解，而使三唑仑的药理作用增强。细胞色素P450系统代谢药--提高血清中卡马西平、特非那定、环孢素、环已巴比妥、苯妥英的水平。4.与利福布汀合用会增加后者的毒性。【规格】0.25g/瓶；【贮藏】密闭，在阴凉干燥处保存。【包装】抗生素玻璃瓶。10瓶/盒；【有效期】24个月。【批准文号】国药准字H20010189【生产企业】国药集团国瑞药业有限公司
复肾宁胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/225487_1.jpg,,国药准字Z20060423,每粒装0.4g,,【成份】车前子、扁蓄、黄柏(盐)、知母(盐)、大黄(制)、栀子、益母草、牡丹皮、附子(炙)、甘草。
烟酸缓释片(本悦),http://img1.pharmnet.com.cn/suppliers/product_cn/225482_1.jpg,,国药准字H20030714,0.5g×10片；0.5g×14片；0.5g×20片,因高胆固醇血症而处于高危状态中的心血管疾病,【烟酸缓释片】医保乙类烟酸缓释片是国内唯一缓调血脂药物，一天一次服用，全面调血脂。
美洛昔康片(洛珂),http://img1.pharmnet.com.cn/suppliers/product_cn/225059.bmp,,国药准字H20020431,7.5mg,【产品功效】适用于类风湿性关节炎的症状治疗、疼痛性骨关节炎（关节病、退行性骨关节病）的症状治疗。,
肝复康丸,http://img1.pharmnet.com.cn/suppliers/product_cn/220112.jpg,,国药准字Z42021827,3g×20袋/盒(独家规格) 100盒/件,,产品功能：收敛，益气，解毒，降谷丙转氨酶。用于急、慢性肝炎，早期肝硬化和肝功能不良。
复方满山红胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/219976.jpg,,国药准字Z23021196,0.2g/粒×36粒/盒,止咳，祛痰。用于急慢性气管炎、咳嗽。,产品组成：满山红油15g满山红总黄酮25g桔梗提取物50g刺五加浸膏35g性状：本品为胶囊剂，内容物为灰棕色的粉末；气特异，味微苦、辛。用法用量：口服，一次2～3粒，一日3次。
小儿枸磺新啶片（克儿咳）,http://img1.pharmnet.com.cn/suppliers/product_cn/219977.jpg,,国药准字H23022896,1板×12片,镇咳、祛痰、消炎药。用于急、慢性上呼吸道感染、肺部感染。,"产品组成：本品为复方制剂，其组分为：磺胺甲噁唑100mg、甲氧苄啶20mg、枸橼酸喷托维林3.125mg、盐酸溴己新2mg,辅料为淀粉。性状：本品为白色片用法用量：口服。2-5岁，一次1-2片，5-12岁，一次2-4片，一日2次。"
六维胶丸（乐韦他）,http://img1.pharmnet.com.cn/suppliers/product_cn/219485.jpg,Hexavitamin Soft Capsules,国药准字H37023539,0.25g*15粒/盒，0.25g*30粒/盒,,用于预防和治疗维生素缺乏所引起的各种疾病。
蔓芝宁®牡荆油胶丸,http://expo.pharmnet.com.cn/product/images/103473_1.jpg,Mujingyou Jiaowan,国药准字Z36020505,20mgX30粒X3盒,祛痰，止咳，平喘。用于慢性支气管炎,【性状】本品为黄棕色的透明胶丸，内容物为淡黄色至橙黄色的油质液体；有特殊的香气。
息亭舒(硫酸软骨素注射液),http://img1.pharmnet.com.cn/suppliers/product_cn/219483.jpg,Chondroitin Sulfate lnjection,国药准字H41024718,2ml:40mg*10支/盒,,可促进神经细胞的修复与再生、有效防治动脉粥样硬化，促进骨细胞的愈合与修复颅脑损伤、脑震荡、外伤性昏迷及其后遗症、颅脑手术后功能障碍、脑血管意外及其后遗症、脑梗塞、脑血管硬化、高脂血症、冠状动脉粥样硬化性心脏病、心绞痛、心肌梗塞。
胎宝胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/219945.JPG,Taibao Jiaonang,国药准字Z36021091,0.3gx12粒x3板／盒,补气、养血、填精。用于身体虚弱，先天不足，气虚血亏，自汗、盗汗、产后体虚,[成分]胎盘粉、胎盘组织粉[用法用量]口服。一次1－3粒，一日3次[零售价]48.00
维生素E胶丸（维得维伊）,http://img1.pharmnet.com.cn/suppliers/product_cn/219948.JPG,Natural Vitamin  E Soft Capsules,国药准字H36020415,100mgX15粒X2板,美容(祛除褐斑)、延缓衰老、保持青春人士。也用于心，脑血管疾病及习惯性流产，不孕症的辅助治疗,[成分]本品每粒含主要成分维生素E0.1克[用法用量]口服。一次1粒，一日1-2次[零售价]28.00
十滴水胶丸,http://expo.pharmnet.com.cn/product/images/103511_1.jpg,SHI DI SHUI JIAO WAN,国药准字Z20000008,0.25gX12粒/盒;0.25gX30粒/盒,健胃、祛暑。用于因中暑而引起的头晕，恶心，腹痛，胃肠不适。,【性状】本品为棕褐色至黑色的胶丸，内容物为黄棕色至棕褐色粘稠油质混悬液；有樟脑的特殊香气，味辛辣，微苦。
柏蕊欣(百蕊片 百蕊胶囊),http://img1.pharmnet.com.cn/suppliers/product_cn/219482.jpg,Bairui Jiaonang,国药准字Z34020409,片剂：0.4g*12片/盒，0.4g*24片/盒  胶囊：0.4g*12粒/盒，0.4g*24粒/盒,,抗菌、抗病毒；消除炎症；止咳祛痰；增强免疫。四效合一，作用全面。即对症，又对因，标本兼治。适用人群广泛。
酮洛芬胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/226342_1.jpg,,国药准字H41024847,,本品能抑制前列腺素合成，具有镇痛、解热和抗炎作用。用于减轻中度疼痛如痛经、牙痛。,1、包装精美，够档次。2、第五代强镇痛药，用于普外、产科、儿科、口腔科、手术后等各类疼痛，对癌症和非癌症疼痛均止痛效果。
九医堂蛇胆川贝胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/224565.jpg,,国药准字Z14020477,每粒装0.3g,,清肺，止咳，除痰。用于肺热咳嗽，痰多
可代愈酚维林片,http://img1.pharmnet.com.cn/suppliers/product_cn/226335_1.jpg,,国药准字H41025504,"枸橼酸喷托维林25mg,愈创木酚甘油醚0.15g",用于上呼吸道感染引起的咳嗽、咳痰等症。止咳化痰药,1、包装精美，够档次。2、异型片。3、一次一片，方便4、商品名简单，易记5、外包装盒上印有“止咳、化痰”及“OTC”字样便于患者自行选择和购买。6、新产品、首次招商。
利培酮片,http://img1.pharmnet.com.cn/suppliers/product_cn/226159_1.jpg,Risperidone Tablets,国药准字H20052330,1mg,用于治疗急性和慢性精神分裂症以及其它各种精神病性状态的明显的阳性症状(如幻觉、妄想、思维紊乱、敌视、怀疑)和明显的阴性症状(如：反应迟钝、情绪淡漠及社交淡漠、少语)。也可减轻与精神分裂症有关的情感症状(如：抑郁、负罪感、焦虑)。对于急性期治疗有效的患者，在维持期治疗中，本品可继续发挥其临床疗效。,【性状】本品为薄膜衣片，除去包衣后显白色或类白色。【规格】1mg。【包装】铝塑包装，10片/板，2板/盒。【有效期】暂定24个月。【贮藏】遮光，密封保存。
九医堂 刻必欣,http://img1.pharmnet.com.cn/suppliers/product_cn/224566.jpg,Cloperestine  Hychochionte Tabtles,国药准字H14020562,每片10毫克,,"用于干咳,老年病用药"
非那雄胺片,http://img1.pharmnet.com.cn/suppliers/product_cn/226064_1.jpg,,国药准字H20031186,5mg,本品适用于治疗已有症状的良性前列腺增生症,
维生素AD胶丸（0-1岁）,http://img1.pharmnet.com.cn/suppliers/product_cn/226055_1.jpg,,国药准字H20058460,维生素A1500单位和维生素D500单位,一岁以内婴幼儿使用，用于预防和治疗维生素A及D的缺乏症。如佝偻病、骨软化症、亚临床维生素A缺乏引起的呼吸道及消化道感染易感性增高、夜肓症、干眼症、皮肤干燥角化及老年骨质疏松症等。,"小儿健康成长的基本营养素,强健骨骼,预防感染,适合小儿发育的科学配比,宝宝喜欢的香甜口味方便,准确的用药剂量,安全的包装"
奥美拉唑肠溶胶囊（万奇）,http://img1.pharmnet.com.cn/suppliers/product_cn/226063_1.jpg,,国药准字H20030309,20mg,适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征（胃泌素瘤）。,国家基本医疗保险药品目录品种极具竞争力的供货价
维生素AE胶丸（婧亮）,http://img1.pharmnet.com.cn/suppliers/product_cn/226060_1.jpg,,国药准字H33022324,每丸含维生素A5000单位与维生素E20毫克。,用于防治因维生素A，E缺乏引起的干眼症、夜盲症、皮肤粗糙角化；亦用于心脑血管疾病、习惯性流产、不孕症的辅助治疗。,眼部保健治疗特效维生素以内养外眼睛清亮精纯组合安全高效软胶囊吸收好效果更好
司瑞克（萘丁美酮）,http://img1.pharmnet.com.cn/suppliers/product_cn/226047_1.bmp,,国药准字H20040166,,对急、慢性炎症、风湿性关节炎、骨关节炎、软组织损伤等有较强的治疗作用,药物溶出快，起效快体内吸收好，生物利用度高便于携带，服用方便可直接吞服，也可溶于温水、果汁、牛奶中服用特别适合于老人，小孩及吞咽困难者
维生素AD胶丸（>1岁）,http://img1.pharmnet.com.cn/suppliers/product_cn/226056_1.jpg,,国药准字H20058459,维生素A2000单位和维生素D700单位,一岁以上儿童使用，用于预防和治疗维生素A及D的缺乏症。如佝偻病、骨软化症、亚临床维生素A缺乏引起的呼吸道及消化道感染易感性增高、夜肓症、干眼症、皮肤干燥角化及老年骨质疏松症等。,"小儿健康成长的基本营养素,强健骨骼,预防感染,适合小儿发育的科学配比,宝宝喜欢的香甜口味,方便准确的用药剂量,安全的包装"
仙戟补肾胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/225999_1.jpg,,国药准字B20020327,每粒装0.3 5g。,,补肾壮阳，益精填髓。用于肾阳亏虚所致的腰膝酸软，畏寒肢冷，神疲乏力，头晕目眩。
红景天,http://img1.pharmnet.com.cn/suppliers/product_cn/226003_1.jpg,,,,,
纯欣,http://img1.pharmnet.com.cn/suppliers/product_cn/225994_1.gif,,国药准字：H20020731,,,本品主要用于治疗敏感细菌引起的上呼吸道感染：咽炎、扁桃体炎等；下呆头呼吸道感染：急性院外获得性肺炎、慢性支气管炎急性发作等；泌尿系感染：肾孟肾炎、膀胱炎、淋工；菌性尿道炎等；皮肤系感染：肾孟肾炎、膀胱炎、淋菌性尿道炎等；皮肤与软组织感染：疥、痈、丹毒、蜂窝组织炎、毛囊炎等；其它类感染：急性中耳炎、副鼻窦炎、淋球菌引起的阴道、肛门直肠感染等。
扶正女贞素片,http://img1.pharmnet.com.cn/suppliers/product_cn/225964_1.gif,,国药准字H13024386,药用铝塑泡罩，20mg×3板×20片。,,免疫功能。抗肿瘤、抗肝炎药，用于抗肿瘤的辅助药及治疗急、慢性肝炎。
君山五子衍宗丸,http://img1.pharmnet.com.cn/suppliers/product_cn/225988_1.jpg,,国药准字Z21020225,,,补肾益精。用于腰酸腿软，遗精早泄，阳痿不育。
安特先,http://img1.pharmnet.com.cn/suppliers/product_cn/225993_1.gif,,国药准宇X20000688,,,本品对多种革兰氏阳性与革兰氏阴性细菌有效，适用于治疗敏感细菌引起的下列感染
皮宝肤特灵霜,http://img1.pharmnet.com.cn/suppliers/product_cn/225991_1.jpg,,粤卫准字第0291号,,,用于皮肤受各种细细菌、真菌感染引起炎症、瘙痒时的消毒，如手足癣、体癣、股癣、花斑癣和牛皮癣等。
感冒疏风颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/225958_1.jpg,,国药准字Z20026106,每袋装(1)10g,辛温解表，宣肺和中。用于风寒感冒，发热咳嗽，头痛怕冷，鼻流清涕，骨节酸痛，四肢疲倦。,本品为灰黄色至黄褐色的颗粒；或灰黄色至灰褐色的颗粒(无蔗糖);气香，味甜、微苦、辛。
感速康胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/225757_1.jpg,,国药准字Z22025132,每粒装0.3g,,成份：金银花、对乙酰氨基酚、大青叶、马来酸氯苯那敏、山豆根、维生素C。
复方地塞米松乳膏（陇海皮焱屏）,http://img1.pharmnet.com.cn/suppliers/product_cn/228164_1.jpg,Compound Dexamethasone Acetate Cream,国药准字H34022137,20克：15毫克,用于局限性搔痒症、神经性皮炎、接触性皮炎、脂溢性皮炎以及慢性湿疹,[成份]本品为复方制剂，每克含醋酸地塞米松0.75毫克，樟脑10毫克，薄荷脑10毫克。辅料为：十六﹑十八烷醇、白凡士林、甘油、液状石蜡、十二烷基硫酸钠。防腐剂为对羟基苯甲酸乙酯。[性状]本品为白色乳膏；有樟脑的特异芳香。[作用类别]本品为皮肤科用药类非处方药药品[药理作用]本品所含地塞米松为糖皮质激素，具有抗炎、抗过敏作用；薄荷脑、樟脑具有促进局部循环和轻度的消炎、止痛及止痒作用。
无极膏,http://img1.pharmnet.com.cn/suppliers/product_cn/228168_1.jpg,Compositus Mentholi Cream,国药准字H19983229,复方制剂,具有消炎、镇痛、止痒、抗菌、局部麻醉作用。用于虫咬皮炎、丘疹性荨麻疹、湿疹、接触性皮炎、神经性皮炎、皮肤瘙痒。,[成份]本品为复方制剂，其组份为：每10克含薄荷脑0.35克、合成樟脑0.56克、水杨酸甲酯0.3克、冰片0.05克、麝香草酚0.025克、丙酸倍氯米松0.001克。[性状]本品为白色乳膏；气芳香，有清凉感。[作用类别]本品为皮肤科用药类非处方药药品。[药物相互作用]1.忌与其他外用药物同时使用。2.如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。[药理作用]丙酸倍氯米松是一种强效局部用糖皮质激素，能减轻和防止组织对炎症的反应，从而减轻炎症的表现。冰片有止痛消肿作用；薄荷脑局部应用时，有促进血循环及消炎、止痒等作用，可用于消炎、止痒、止痛、减轻水肿等；水杨酸甲酯能透入皮肤而吸收。
丙酸氯倍他索乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/228167_1.jpg,Clobetasol Propionate Cream,国药准字H34021564,10g:2mg,适用于慢性湿疹、银屑病、扁平苔藓、盘状红斑狼疮、神经性皮炎、掌跖脓疱病等皮质类固醇外用治疗有效的皮肤病。,【性状】本品为白色乳膏。【药物相互作用】如正在使用其他药品，使用本品前请咨询医师或药师。【药物过量】未进行该项实验且无可靠参考文献。【药理毒理】本品作用迅速，是目前临床应用的高效外用皮质类固醇中药效较强的一种。具有较强的毛细血管收缩作用，其抗炎作用为氢化可的松的112.5倍，倍他米松磷酸钠的2.3倍，氟轻松的18.7倍。全身不良反应为氟轻松的3倍，无水钠潴留作用，有一定的促进钠、钾排泄作用。
咪康唑氯倍他索乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/228166_1.jpg,Compocnd Miconazole Nitrate Cream,国药准字H34023752,复方制剂,用于真菌引起的皮炎、湿疹、手足癣、股癣及过敏性皮炎。,【成分】本品为复方制剂，其组分为硝酸咪康唑、丙酸氯倍他索等。【性状】本品为乳白色乳膏。【药物相互作用】如正在使用其他药品，使用本品前请咨询医师或药师。【药物过量】过量应用本品可致肾上腺皮质激素的全身不良反应，造成可逆性下丘脑-垂体-肾上腺(PHA)轴的抑制，部分患者可出现柯兴综合征、高血糖及尿糖等表现。【药理毒理】本品为硝酸咪康唑与丙酸氯倍他索的复方制剂。硝酸咪康唑为咪唑类抗真菌药，具有抑菌作用，浓度高时也可具杀菌作用；可抑制真菌麦角固醇等固醇的生物合成；作用于真菌细胞膜，损伤真菌胞膜和改变其通透性，致胞内重要物质漏失；也可抑制真菌的甘油三酯和磷脂的生物合成；亦可抑制氧化和过氧化酶的活性，引起过氧化物在胞内过度积聚，导致真菌亚细胞结构变性和坏死；对白色念珠菌则可抑制其芽孢转变为具有侵袭性的菌丝。丙酸氯倍他索为高效外用皮质激素，具有毛细血管收缩作用和抗炎作用。
陇马陆胃药片,http://img1.pharmnet.com.cn/suppliers/product_cn/227387_1.gif,,国药准字Z62021123。,,制酸止痛，健胃消食。主要用于治疗胃炎、胃十二指肠溃疡见胃脘疼痛，嘈杂泛酸，食欲不振，消化不良。,【性状】本品为糖衣片，除去糖衣后显浅灰色至灰棕色；气微，味微苦。【注意事项】对本品过敏者慎用。【贮藏】密封。【有效期】3年。
